Car_Brand,Model,Engine_Type,Fuel_Efficiency,Safety_Rating,Driving_Condition,Temperature,Road_Type,Traffic_Level,Weather_Condition,Engine_Performance,Battery_Range,Braking_Performance,Emissions,Vehicle_Condition,Tire_Condition,Performance_Optimization,Scenario_Adaptability
Ford,Mustang,Diesel,A,5,Urban,6,Highway,Medium,Rainy,404,,170,150,Poor,Worn,Medium,6
BMW,3 Series,Diesel,C,4,Off-Road,27,Highway,Low,Clear,267,,193,286,Poor,New,Low,5
Ford,Mustang,Diesel,E,5,Heavy Traffic,12,Highway,Low,Rainy,244,,110,272,Well-maintained,Worn,Medium,2
BMW,X5,Electric,D,5,Highway,10,Off-road terrain,Medium,Clear,373,,191,268,Moderate wear,New,High,7
Mercedes,GLE,Diesel,C,4,Heavy Traffic,1,City streets,High,Snowy,488,,109,178,Poor,Worn,High,3
Tesla,Model 3,Electric,E,5,Highway,2,Off-road terrain,Low,Snowy,158,,159,226,Poor,Flat,Medium,2
Toyota,Camry,Petrol,B,5,Urban,2,City streets,Low,Clear,161,,188,261,Well-maintained,Flat,Medium,5
Tesla,Model S,Petrol,A++,4,Highway,12,Off-road terrain,High,Rainy,241,,150,260,Well-maintained,Worn,Medium,3
Ford,Mustang,Petrol,E,4,Heavy Traffic,12,Off-road terrain,Medium,Clear,450,,146,225,Poor,New,Low,3
Tesla,Model S,Diesel,B,4,Heavy Traffic,18,City streets,Low,Rainy,363,,122,168,Poor,Flat,Low,4
Mercedes,GLE,Diesel,A+,4,Urban,29,Highway,Low,Clear,459,,121,177,Well-maintained,Worn,Low,6
Mercedes,GLE,Petrol,A+,4,Heavy Traffic,17,Off-road terrain,High,Clear,307,,176,295,Well-maintained,Flat,Low,2
Tesla,Model S,Electric,D,4,Off-Road,21,Highway,High,Rainy,394,,156,170,Well-maintained,New,High,6
Mercedes,GLE,Diesel,E,4,Urban,0,Off-road terrain,Low,Clear,224,,113,152,Well-maintained,Flat,High,4
Mercedes,GLE,Diesel,B,4,Heavy Traffic,28,City streets,Medium,Snowy,360,,124,222,Poor,New,Low,2
Ford,F-150,Diesel,D,4,Heavy Traffic,26,City streets,High,Clear,436,,109,167,Well-maintained,New,Low,4
Toyota,Corolla,Petrol,A,5,Urban,-1,Off-road terrain,Low,Rainy,228,,117,151,Moderate wear,New,High,9
Tesla,Model 3,Petrol,D,5,Urban,7,City streets,Low,Rainy,222,,151,279,Poor,New,Medium,3
Mercedes,E-Class,Diesel,A++,4,Urban,11,City streets,Medium,Snowy,162,,191,268,Poor,Worn,Medium,4
Mercedes,E-Class,Diesel,A++,4,Off-Road,18,City streets,High,Snowy,184,,154,251,Well-maintained,New,Medium,8
Tesla,Model 3,Diesel,D,5,Highway,7,Off-road terrain,High,Snowy,183,,135,155,Moderate wear,New,High,8
Tesla,Model 3,Diesel,B,5,Off-Road,8,Off-road terrain,Medium,Rainy,170,,153,252,Moderate wear,Flat,High,1
Mercedes,E-Class,Electric,E,4,Extreme Weather,34,Off-road terrain,High,Snowy,368,,179,236,Poor,Worn,High,2
BMW,X5,Electric,E,5,Urban,-1,Off-road terrain,High,Snowy,265,,113,261,Poor,Flat,Low,2
Ford,Mustang,Electric,E,5,Highway,30,Off-road terrain,High,Snowy,339,,146,254,Moderate wear,New,High,2
Hyundai,Sonata,Petrol,A++,4,Extreme Weather,1,City streets,High,Rainy,187,,113,240,Well-maintained,Worn,Medium,4
Mercedes,E-Class,Electric,E,4,Heavy Traffic,11,Highway,High,Rainy,281,,184,243,Well-maintained,New,High,5
Toyota,Corolla,Diesel,E,5,Highway,16,Highway,Medium,Clear,306,,137,259,Poor,New,High,1
BMW,3 Series,Electric,A+,5,Heavy Traffic,27,Highway,Low,Rainy,377,,159,211,Moderate wear,New,Medium,6
Mercedes,E-Class,Electric,B,5,Heavy Traffic,12,Off-road terrain,Medium,Snowy,435,,197,216,Poor,Worn,Medium,1
BMW,3 Series,Electric,C,4,Urban,3,Off-road terrain,High,Rainy,447,,150,277,Moderate wear,New,High,1
Tesla,Model 3,Electric,D,5,Urban,23,Off-road terrain,Low,Snowy,247,,164,261,Well-maintained,Worn,Low,9
Hyundai,Kona EV,Electric,E,4,Off-Road,29,Highway,Low,Snowy,457,,184,214,Poor,New,Low,6
Ford,Mustang,Diesel,D,5,Extreme Weather,17,Off-road terrain,Low,Clear,257,,178,195,Moderate wear,Worn,Low,2
Ford,Mustang,Petrol,A+,4,Heavy Traffic,26,City streets,Low,Clear,388,,157,295,Poor,Flat,High,7
BMW,X5,Electric,E,5,Highway,21,City streets,Low,Clear,204,,196,236,Poor,Flat,Low,2
Toyota,Corolla,Electric,D,4,Urban,25,Highway,High,Snowy,254,,100,163,Poor,Worn,Medium,4
Mercedes,GLE,Petrol,B,5,Extreme Weather,6,City streets,High,Clear,469,,158,279,Poor,New,High,7
BMW,3 Series,Electric,A++,5,Highway,32,City streets,Low,Clear,269,,196,206,Moderate wear,New,High,5
Ford,Mustang,Petrol,B,4,Highway,23,Highway,Low,Snowy,423,,141,250,Well-maintained,New,High,4
Ford,F-150,Electric,E,5,Extreme Weather,9,Off-road terrain,High,Snowy,396,,118,175,Moderate wear,Worn,Medium,5
Tesla,Model 3,Electric,E,4,Urban,6,City streets,High,Rainy,198,,154,248,Well-maintained,Worn,Medium,4
Mercedes,GLE,Petrol,D,4,Urban,10,Highway,Low,Clear,497,,105,297,Moderate wear,Worn,Low,1
Ford,F-150,Electric,C,4,Heavy Traffic,20,Off-road terrain,Medium,Snowy,257,,129,289,Well-maintained,New,Medium,2
BMW,3 Series,Diesel,B,5,Heavy Traffic,7,Off-road terrain,Low,Rainy,279,,183,195,Moderate wear,Worn,Medium,6
Mercedes,GLE,Diesel,D,4,Extreme Weather,24,City streets,High,Rainy,220,,195,168,Well-maintained,Flat,Low,5
Tesla,Model S,Petrol,E,5,Off-Road,3,Off-road terrain,High,Rainy,166,,125,221,Poor,Worn,High,3
Hyundai,Sonata,Electric,B,4,Highway,4,Highway,Low,Rainy,372,,100,252,Well-maintained,Worn,High,6
Toyota,Camry,Electric,D,4,Highway,4,Highway,Medium,Clear,274,,150,276,Moderate wear,Worn,High,4
Ford,F-150,Diesel,C,5,Extreme Weather,15,Highway,Low,Clear,455,,193,169,Moderate wear,Worn,Medium,6
BMW,3 Series,Petrol,A++,4,Highway,18,Off-road terrain,Medium,Rainy,349,,120,219,Moderate wear,Flat,Low,2
BMW,X5,Electric,A++,4,Extreme Weather,26,Highway,Medium,Rainy,480,,122,206,Poor,Flat,High,2
Ford,F-150,Diesel,A++,5,Urban,12,Highway,Medium,Clear,221,,129,202,Well-maintained,Flat,Medium,10
BMW,X5,Diesel,A+,4,Heavy Traffic,24,Off-road terrain,Medium,Clear,400,,153,214,Well-maintained,New,High,5
Ford,Mustang,Petrol,C,4,Heavy Traffic,6,Highway,High,Snowy,305,,181,151,Moderate wear,Flat,High,5
Mercedes,E-Class,Petrol,D,5,Off-Road,9,Highway,High,Rainy,189,,127,248,Moderate wear,New,Medium,5
Mercedes,E-Class,Petrol,E,4,Heavy Traffic,17,Off-road terrain,Medium,Clear,253,,179,202,Moderate wear,New,High,5
Hyundai,Kona EV,Petrol,C,4,Extreme Weather,7,Off-road terrain,Medium,Snowy,207,,177,191,Well-maintained,Flat,High,3
Ford,F-150,Diesel,D,5,Urban,13,Highway,High,Snowy,153,,194,229,Poor,Worn,Low,9
Mercedes,E-Class,Electric,C,5,Highway,8,City streets,Low,Snowy,356,,127,229,Well-maintained,Worn,High,7
